crs_code,crs_credit,crs_tag,crs_level,crs_2y,dept_id,crs_name
CIS101,3,IT,1,4,2,Introduction to Information Systems
CIS214,3,UI/UX design,2,4,2,Visual Programming
CIS227,3,UI/UX design,1,3,2,Human Computer Interaction
CIS240,3,Software Engineering,1,3,2,Introduction to Software Engineering
CIS241,3,Software Engineering,2,3,2,Software Documentation
CIS260,3,Database,3,2,2,Database Systems
CIS260L,1,Database,2,2,2,Database Systems Lab
CIS265,3,Database,3,3,2,Database Management System
CIS256,3,Data & File Structures,4,1,2,Files Structures
CIS340,3,Software Engineering,3,3,2,Object Oriented Analysis & Design
CIS340L,1,Software Engineering,3,3,2,Object Oriented Analysis & Design Lab
CIS342,3,Software Engineering,3,3,2,System Analysis & Design
CIS360,3,Database,4,2,2,Developing Database Applications
CIS367,3,Database,3,3,2,Data Warehousing
CIS370,3,Internet of Things,4,2,2,Intelligent Systems & Internet Of Things
CIS380,3,Applications & New Technology,4,1,2,Information System Applications
CIS382,3,Cloud Computing,4,1,2,Cloud Computing
CIS431,3,Networks,3,4,2,Internet Services
CIS433,3,Networks,4,3,2,Data & Communication Networks
CIS440,3,Quality Assurance,3,3,2,Software Testing & Validation
CIS464,3,Data Science,4,2,2,Information Retrieval Systems
CIS467A,3,Data Science,4,2,2,Data Mining
CIS467L,1,Data Science,5,3,2,Information Retrieval & Data Mining Lab
CIS468,3,Data Science,5,2,2,Big Data Management
CIS472,3,Artificial Intelligence,5,2,2,Applied Data Mining
CIS480,3,Distributed Systems,5,3,2,Distributed Systems Applications
CIS492,3,Applications & New Technology,5,2,2,Special Topics
CIS497,3,Practical,5,1,2,Training Certificate
CIS498,3,Practical,5,1,2,Practical Training
CIS499,3,Project,5,1,2,Graduation Project
CS111,3,Programming,1,5,1,Programming in a Selected Language
CS111L,1,Programming,2,3,1,Programming in a Selected Language Lab
CS130,3,System Fundementals,1,5,1,Operating Systems Fundamentals
CS142,3,Logic,3,3,1,Discrete Structures
CS210,3,Programming,2,3,1,Object-Oriented Programming
CS210L,1,Programming,2,3,1,Object-Oriented Programming Lab
CS220,3,Logic,2,3,1,Logic Design
CS225,1,Logic,3,4,1,Computer Organization Lab
CS250,3,Data & File Structures,4,2,1,Data Structures
CS281,3,Multimedia,2,3,1,Multimedia Systems
CS310,3,Programming,4,2,1,4 Programming
CS331,3,System Fundementals,4,3,1,Operating Systems (2)
CS332,3,Networks,3,3,1,Data Communications and Networks
CS332L,1,Networks,3,3,1,Data Communications and Networks Lab
CS342,3,Logic,3,3,1,Theroy of Computation
CS351,3,Data & File Structures,4,3,1,Analysis and Design of Algorithms
CS360,3,Networks,4,4,1,Wireless Networks
