"crs_code","term_id","crs_section","crs_day","crs_time","dept_id"
"CS111","202102","2","135","10:00:00","1"
"CS111L","202102","1","135","11:00:00","1"
"CS111L","202102","2","135","13:00:00","1"
"CS130","202102","1","135","08:00:00","1"
"CS142","202102","1","135","08:00:00","1"
"CS142","202102","2","135","11:00:00","1"
"CS210","202102","1","135","11:00:00","1"
"CS210","202102","2","135","09:00:00","1"
"CS210L","202102","1","24","08:00:00","1"
"CS210L","202102","2","24","09:00:00","1"
"CS220","202102","1","24","11:00:00","1"
"CS225","202102","1","24","11:00:00","1"
"CS225","202102","2","24","12:00:00","1"
"CS250","202102","1","24","17:00:00","1"
"CS250","202102","2","24","16:00:00","1"
"CS281","202102","1","135","12:00:00","1"
"CS281","202102","2","135","13:00:00","1"
"CS310","202102","1","24","10:00:00","1"
"CS310","202102","2","24","12:00:00","1"
"CS332","202102","1","24","13:00:00","1"
"CS332","202102","2","24","10:00:00","1"
"CS332L","202102","1","24","08:00:00","1"
"CS332L","202102","2","24","11:00:00","1"
"CS342","202102","1","24","12:00:00","1"
"CS351","202102","1","135","09:00:00","1"
"CS351","202102","2","135","12:00:00","1"
"CS360","202102","1","135","10:00:00","1"
"CS411","202102","1","24","11:00:00","1"
"CS411","202102","2","24","13:00:00","1"
"CS432","202102","1","24","17:00:00","1"
"CS480","202102","1","135","09:00:00","1"
"CS480","202102","2","24","08:00:00","1"
"CS498","202102","1","24","08:00:00","1"
"CS499A","202102","1","0","00:00:00","1"
"CS499B","202102","1","0","14:00:00","1"
"CS499B","202102","2","0","14:00:00","1"
